topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
teleserye,Darna,"babaeng superhero na lumilipad, may bato",karakter na maraming gumanap,isang tauhan sa TV,1,national
teleserye,Ang Probinsyano,matagal na aksyon na palabas tungkol sa pulis,isang teleserye na tumagal ng maraming taon,isang palabas sa TV,2,national
teleserye,Marimar,babae sa dalampasigan na may aso,lumang palabas na sikat na sikat,isang teleserye noon,3,national
teleserye,Mara Clara,dalawang batang nagkapalit noong sanggol,lumang drama tungkol sa magkaaway,isang palabas noon,3,national
teleserye,Pangako Sayo,magkasintahan na pinaghihiwalay ng pamilya,isang romantikong teleserye,isang drama sa TV,3,national
teleserye,Encantadia,mga engkantada na may apat na kaharian,isang fantaserye na may mahika,isang palabas na fantasy,2,national
teleserye,Okay Ka Fairy Ko,komedya tungkol sa engkantada at asawa,lumang palabas na nakakatawa,isang palabas noon,4,national
teleserye,Eat Bulaga,"matagal nang noontime show, may mga laro",palabas sa tanghali araw-araw,isang programa sa TV,2,national
teleserye,Wowowee,noontime show na may sayaw at premyo,lumang palabas sa tanghali,isang programa noon,4,national
teleserye,Goin Bulilit,mga bata ang gumaganap sa komedya,palabas na puro bata ang artista,isang palabas sa TV,3,national
teleserye,Maalaala Mo Kaya,totoong kuwento ng manunulat kada linggo,drama anthology tuwing Sabado,isang palabas sa TV,3,national
teleserye,Magpakailanman,totoong kuwento na isinasadula,isang drama tungkol sa buhay ng tao,isang palabas sa TV,4,national
teleserye,Heneral Luna,pelikula tungkol sa mainiting heneral,isang makasaysayang pelikula,isang pelikula sa sinehan,3,national
teleserye,Kita Kita,"magkakilala sa ibang bansa, bulag ang babae",isang romantikong pelikula,isang pelikula na indie,3,national
teleserye,Hello Love Goodbye,tungkol sa mga OFW sa Hong Kong,isang pelikulang pang-pamilya,isang pelikula tungkol sa pag-ibig,3,national
teleserye,Four Sisters and a Wedding,magkakapatid na nagkaayos bago ang kasal,pelikula tungkol sa pamilya,isang pelikula sa sinehan,3,national
teleserye,One More Chance,magkasintahan na naghiwalay at nagkabalikan,isang romantikong pelikula noon,isang pelikula tungkol sa pag-ibig,3,national
teleserye,Sana Dalawa Ang Puso,tungkol sa kambal na magkaiba ang ugali,isang teleserye na may kambal,isang palabas sa TV,4,national
teleserye,Be Careful With My Heart,tungkol sa yaya at amo,isang palabas sa umaga,isang teleserye,4,national
teleserye,Bubble Gang,gabing komedya na puro parody,isang palabas na nakakatawa sa gabi,isang programa sa TV,3,national
teleserye,TV Patrol,"balita tuwing gabi, may anchor",programa ng balita,isang programa sa TV,2,national
teleserye,Teleserye,pang-araw-araw na drama sa TV,palabas na may sunod-sunod na kuwento,isang uri ng palabas,2,national
teleserye,Fantaserye,drama na may mahika at engkanto,palabas na may kababalaghan,isang uri ng palabas,3,national
teleserye,Kontrabida,ang masamang tauhan sa istorya,ang kalaban sa palabas,isang uri ng tauhan,2,national
teleserye,Bidang babae,pangunahing tauhan na babae,ang pangunahing artista,isang tauhan sa palabas,3,national
teleserye,Sampalan,eksena na may hampas sa mukha,isang mainit na eksena sa drama,isang bahagi ng palabas,3,national
teleserye,Finale,huling episode ng isang palabas,ang katapusan ng kuwento,isang bahagi ng palabas,3,national
teleserye,Teleserye theme song,kanta na tumutugtog sa umpisa,musika na kasabay ng palabas,isang kanta sa TV,4,national
teleserye,Loveteam,dalawang artista na laging magkapares,magkasamang artista sa maraming proyekto,isang pares sa showbiz,2,national
teleserye,Primetime,oras ng gabi na maraming nanonood,ang pinakamainit na oras sa TV,isang oras sa araw,3,national
teleserye,Mula Sa Puso,lumang serye na may Via at Selina,lumang drama noong nobenta,isang palabas noon,4,national
teleserye,Esperanza,lumang serye tungkol sa babaeng pinagdaanan ang lahat,lumang drama noong nobenta,isang palabas noon,4,national
teleserye,Sa Puso Ko Iingatan Ka,lumang seryeng kinabaliwan ng bansa,lumang drama noon,isang palabas noon,4,national
teleserye,Anak ng Pasig,lumang seryeng may ilog sa pamagat,lumang drama noon,isang palabas noon,4,national
teleserye,Rosalinda,lumang dubbed na Mexicano na sikat dito,dayuhang drama na Tagalog ang boses,isang palabas noon,3,national
teleserye,Meteor Garden,palabas na Taiwanese na may apat na binata,dayuhang drama na sikat dito,isang palabas,2,national
teleserye,Descendants of the Sun,Korean na tungkol sa sundalo at doktor,dayuhang drama na sikat,isang palabas,3,national
teleserye,Crash Landing on You,Korean na tungkol sa hangganan ng dalawang bansa,dayuhang drama sa streaming,isang palabas,3,national
teleserye,Squid Game,dayuhang palabas ng larong pambata na nakamamatay,dayuhang palabas na madugo,isang palabas,2,national
teleserye,Kadenang Ginto,serye ng dalawang magkapatid na naaway sa yaman,drama tungkol sa pamilyang mayaman,isang palabas,3,national
